species_id,in_datapacks,in_jars,in_scripts,in_configs,spawn_files_datapacks,spawn_files_jars,script_refs,config_refs
cobblemon:abomasnow,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0460_abomasnow.json,,,
cobblemon:abra,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:absol,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:aerodactyl,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:applin,true,true,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0840_applin.json,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:arbok,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:arcanine,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0059_arcanine_hisuian.json,,,
cobblemon:arctibax,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0997_arctibax.json,,,
cobblemon:ariados,true,false,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0168_ariados.json,,,
cobblemon:aromatisse,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0683_aromatisse.json,,,
cobblemon:aron,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:ashgreninja,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:audino,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0531_audino.json,,,
cobblemon:avalugg,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0713_avalugg_hisuian.json,,,
cobblemon:baxcalibur,true,true,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0998_baxcalibur.json,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:bayleef,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:beautifly,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0267_beautifly.json,,,
cobblemon:bellsprout,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:bisharp,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0625_bisharp.json,,,
cobblemon:blacephalon,true,false,false,false,datapacks/CCC_1.9.2/data/ultra_beasts_spawns/spawn_pool_world/0806_blacephalon.json,,,
cobblemon:blastoise,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:blaziken,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:blipbug,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0824_blipbug.json,,,
cobblemon:blissey,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:bombirdier,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0962_bombirdier.json,,,
cobblemon:braixen,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:braviary,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0628_braviary_hisuian.json,,,
cobblemon:brionne,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:brutebonnet,true,false,false,false,datapacks/CCC_1.9.2/data/paradox_spawns/spawn_pool_world/0986_brutebonnet.json,,,
cobblemon:bulbasaur,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:burmy,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0412_burmy.json,,,
cobblemon:buzzwole,true,false,false,false,datapacks/CCC_1.9.2/data/ultra_beasts_spawns/spawn_pool_world/0794_buzzwole.json,,,
cobblemon:cafe_fuecoco,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/cafe.json,,
cobblemon:cafe_litten,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/cafe.json,,
cobblemon:cafe_raichu_alolan,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/cafe.json,,
cobblemon:cafe_sprigatito,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/cafe.json,,
cobblemon:carkol,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0838_carkol.json,,,
cobblemon:cascoon,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0268_cascoon.json,,,
cobblemon:castform,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0351_castform.json,,,
cobblemon:celesteela,true,false,false,false,datapacks/CCC_1.9.2/data/ultra_beasts_spawns/spawn_pool_world/0797_celesteela.json,,,
