[2026-02-12 01:55:54] TYPE: PURCHASE | PLAYER: NexusLBC (9ae22cb0-438f-4dea-8318-cf8a0c296fc9) | ITEM: Random Cobblemon Item (cobblemon:*) | QTY: 1 | TOTAL: 1003 ₽
[2026-02-12 16:11:33] TYPE: PURCHASE | PLAYER: SxnnyWery (11e5d51c-433a-4a9d-98a6-58ba44e8af18) | ITEM: Poké Ball (cobblemon:poke_ball) | QTY: 1 | TOTAL: 200 ₽
[2026-02-12 16:11:33] TYPE: PURCHASE | PLAYER: SxnnyWery (11e5d51c-433a-4a9d-98a6-58ba44e8af18) | ITEM: Poké Ball (cobblemon:poke_ball) | QTY: 1 | TOTAL: 200 ₽
[2026-02-12 16:56:31] TYPE: PURCHASE | PLAYER: SxnnyWery (11e5d51c-433a-4a9d-98a6-58ba44e8af18) | ITEM: Poké Ball (cobblemon:poke_ball) | QTY: 1 | TOTAL: 200 ₽
[2026-02-12 16:56:31] TYPE: PURCHASE | PLAYER: SxnnyWery (11e5d51c-433a-4a9d-98a6-58ba44e8af18) | ITEM: Poké Ball (cobblemon:poke_ball) | QTY: 1 | TOTAL: 200 ₽
[2026-02-12 16:56:31] TYPE: PURCHASE | PLAYER: SxnnyWery (11e5d51c-433a-4a9d-98a6-58ba44e8af18) | ITEM: Poké Ball (cobblemon:poke_ball) | QTY: 1 | TOTAL: 200 ₽
[2026-02-13 00:43:19] TYPE: PURCHASE | PLAYER: NexusLBC (9ae22cb0-438f-4dea-8318-cf8a0c296fc9) | ITEM: Chasse (Quête) (academy:hunt) | QTY: 1 | TOTAL: 100 ₽
[2026-02-13 02:20:49] TYPE: PURCHASE | PLAYER: MyNameIsDynosaur (889d96e0-9436-4b67-b7e2-cb74e2553344) | ITEM: PokéNav (cobblenav:pokenav_item_base) | QTY: 1 | TOTAL: 7500 ₽
[2026-02-14 16:06:24] TYPE: PURCHASE | PLAYER: Syl66 (19d0b916-fa84-40fb-a931-5281bd10f101) | ITEM: Chasse (Quête) (academy:hunt) | QTY: 1 | TOTAL: 100 ₽
[2026-02-14 16:06:41] TYPE: PURCHASE | PLAYER: Syl66 (19d0b916-fa84-40fb-a931-5281bd10f101) | ITEM: PokéNav (cobblenav:pokenav_item_base) | QTY: 1 | TOTAL: 7500 ₽
[2026-02-14 16:07:02] TYPE: PURCHASE | PLAYER: Syl66 (19d0b916-fa84-40fb-a931-5281bd10f101) | ITEM: PokéFinder (cobblenav:pokefinder_item_red) | QTY: 1 | TOTAL: 7500 ₽
[2026-02-14 19:10:22] TYPE: PURCHASE | PLAYER: zT_PsyKozZ (31848224-380b-4ab0-8a04-d44c56e9f42c) | ITEM: PokéNav (cobblenav:pokenav_item_base) | QTY: 1 | TOTAL: 7500 ₽
[2026-02-14 20:11:30] TYPE: PURCHASE | PLAYER: laitlait2 (0cad9bae-0152-409c-855f-d53a5e8718c9) | ITEM: Max Revive (cobblemon:max_revive) | QTY: 1 | TOTAL: 4000 ₽
[2026-02-14 22:18:54] TYPE: PURCHASE | PLAYER: SxnnyWery (11e5d51c-433a-4a9d-98a6-58ba44e8af18) | ITEM: Max Revive (cobblemon:max_revive) | QTY: 1 | TOTAL: 4000 ₽
[2026-02-15 02:28:29] TYPE: PURCHASE | PLAYER: MyNameIsDynosaur (889d96e0-9436-4b67-b7e2-cb74e2553344) | ITEM: Boussole de Biomes (naturescompass:naturescompass) | QTY: 1 | TOTAL: 7500 ₽
[2026-02-15 02:28:34] TYPE: PURCHASE | PLAYER: MyNameIsDynosaur (889d96e0-9436-4b67-b7e2-cb74e2553344) | ITEM: Max Revive (cobblemon:max_revive) | QTY: 1 | TOTAL: 4000 ₽
[2026-02-15 13:51:51] TYPE: PURCHASE | PLAYER: NexusLBC (9ae22cb0-438f-4dea-8318-cf8a0c296fc9) | ITEM: Boussole de Biomes (naturescompass:naturescompass) | QTY: 1 | TOTAL: 7500 ₽
[2026-02-15 23:48:55] TYPE: PURCHASE | PLAYER: MyNameIsDynosaur (889d96e0-9436-4b67-b7e2-cb74e2553344) | ITEM: PêcheNav (cobblenav:fishingnav_item) | QTY: 1 | TOTAL: 7500 ₽
